COMMAND                   AVG_CPU%
mysqld                        60.7
nginx                         33.1
pidstat                        0.4
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
kworker/u4:3+flush-259:0       0.0
kworker/u4:0-events_unbound       0.0
kworker/0:3-events             0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
chronyd                        0.0
