COMMAND                   AVG_CPU%
nginx                        110.4
pidstat                        0.4
rcu_sched                      0.1
ksoftirqd/0                    0.1
systemd-logind                 0.0
sshd                           0.0
snapd                          0.0
rsyslogd                       0.0
polkitd                        0.0
kworker/u4:4-events_power_efficient       0.0
kworker/u4:3-ext4-rsv-conversion       0.0
kworker/1:3-mm_percpu_wq       0.0
ksoftirqd/1                    0.0
kcompactd0                     0.0
dbus-daemon                    0.0
