    t     req newconn  fullhs      h2
    0      44      16      16       0
    5   20922     698     698       0
   10   52777    1723    1723       0
   15   51806    1824    1824       0
   20   51045    1892    1892       0
   25   48340    2018    2018       0
   30   48784    2018    2018       0
   35   49878    2099    2099       0
   40   57779    1120    1120       0
   45   56829    1075    1075       0
   50   57921     964     964       0
   55   56637     942     942       0
   60   54392     940     940       0
   65   32594     552     552       0
