    t     req newconn  fullhs      h2
    0     131      12      12       0
    5   10345     460     460       0
   10   10443     487     487       0
   15    9828     499     499       0
   20   10788     535     535       0
   25    9091     581     581       0
   30    8671     632     632       0
   35    8586     733     733       0
   40    9807     778     778       0
   45    9340     756     756       0
   50    9245     739     739       0
   55    9557     708     708       0
   60    8379     650     650       0
