procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 12967840  96456 2571840    0    0    12   103  189   75 11  2 87  0  0 2026-09-22 10:20:44
 0  0      0 12960060  96456 2568448    0    0     0     0 1898 1922  1  1 98  0  0 2026-09-22 10:20:45
 0  0      0 12939396  96456 2568308    0    0     0     0  904  861  1  0 99  0  0 2026-09-22 10:20:46
 0  0      0 12939396  96456 2568320    0    0     0     0   37   52  0  0 100  0  0 2026-09-22 10:20:47
 0  0      0 12937128  96456 2568320    0    0     0     0 2159 2892  1  0 99  0  0 2026-09-22 10:20:48
 0  0      0 12936876  96456 2568320    0    0     0    80  101   70  0  0 100  0  0 2026-09-22 10:20:49
 0  0      0 12935112  96456 2568320    0    0     0     0 1232 1688  0  0 100  0  0 2026-09-22 10:20:50
 0  0      0 12935112  96456 2568320    0    0     0     8   60   56  0  0 100  0  0 2026-09-22 10:20:51
 0  0      0 12933600  96456 2568320    0    0     0     0 1536 2048  0  0 100  0  0 2026-09-22 10:20:52
 2  0      0 12864592  96456 2568180    0    0     0     0 70693 66111 40  7 53  0  0 2026-09-22 10:20:53
 2  0      0 12838472  96456 2568196    0    0     0    28 72663 66482 42  7 51  0  0 2026-09-22 10:20:54
 5  0      0 12807284  96456 2568316    0    0     0     4 74020 67505 44  7 49  0  0 2026-09-22 10:20:55
 4  0      0 12784312  96456 2568676    0    0     0     0 72576 69488 42  6 52  0  0 2026-09-22 10:20:56
 6  0      0 12736444  96456 2569112    0    0     0     0 72773 65225 44  7 49  0  0 2026-09-22 10:20:57
 8  0      0 12716372  96456 2569316    0    0     0   104 73461 67911 43  7 50  0  0 2026-09-22 10:20:58
 6  0      0 12698424  96456 2569476    0    0     0    28 76012 70112 44  8 48  0  0 2026-09-22 10:20:59
 3  0      0 12680896  96456 2569588    0    0     0     0 75148 68708 45  6 49  0  0 2026-09-22 10:21:00
 8  0      0 12664576  96456 2569768    0    0     0     4 74991 65794 46  7 47  0  0 2026-09-22 10:21:01
 2  0      0 12646180  96456 2569912    0    0     0     0 72386 66205 45  6 49  0  0 2026-09-22 10:21:02
 4  0      0 12637920  96456 2570008    0    0     0   108 72662 66614 43  7 50  0  0 2026-09-22 10:21:03
 6  0      0 12622548  96456 2570104    0    0     0    48 70058 64319 43  6 51  0  0 2026-09-22 10:21:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 9  0      0 12615632  96456 2570344    0    0     0     0 72555 66977 43  7 49  0  0 2026-09-22 10:21:05
 6  0      0 12589372  96456 2570464    0    0     0     0 74134 66427 45  8 47  0  0 2026-09-22 10:21:06
 7  0      0 12588672  96456 2570596    0    0     0     4 72540 66042 47  6 48  0  0 2026-09-22 10:21:07
 8  0      0 12572460  96456 2570772    0    0     0   160 72436 65461 45  6 50  0  0 2026-09-22 10:21:08
 2  0      0 12554156  96460 2570944    0    0     0    28 72144 64755 45  6 48  0  0 2026-09-22 10:21:09
