COMMAND                   AVG_CPU%
nginx                        134.9
pidstat                        0.5
kworker/u4:3-ext4-rsv-conversion       0.2
kworker/u4:2-ext4-rsv-conversion       0.2
kworker/u4:1-ext4-rsv-conversion       0.2
rcu_sched                      0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
snapd                          0.0
multipathd                     0.0
migration/1                    0.0
