COMMAND                   AVG_CPU%
mysqld                        94.5
pidstat                        0.8
landscape-sysin                0.7
kworker/u4:0-events_unbound       0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
kworker/u4:2-writeback         0.0
kworker/u4:2-ext4-rsv-conversion       0.0
kworker/u4:1-flush-259:0       0.0
kworker/u4:0-writeback         0.0
kworker/u4:0-ext4-rsv-conversion       0.0
kworker/1:2-mm_percpu_wq       0.0
