COMMAND                   AVG_CPU%
isupipe                      105.4
nginx                         21.1
systemd-journal                1.2
rsyslogd                       0.5
pidstat                        0.5
kworker/u4:3-ext4-rsv-conversion       0.3
landscape-sysin                0.2
rcu_sched                      0.1
kworker/u4:3-flush-259:0       0.1
kworker/u4:0-ext4-rsv-conversion       0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
snapd                          0.0
mysql                          0.0
