COMMAND                   AVG_CPU%
nginx                        109.1
pidstat                        0.4
rcu_sched                      0.1
landscape-sysin                0.1
ksoftirqd/1                    0.1
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
polkitd                        0.0
multipathd                     0.0
kworker/u4:4-flush-259:0       0.0
kworker/u4:4-ext4-rsv-conversion       0.0
kworker/u4:0-flush-259:0       0.0
kworker/1:3-mm_percpu_wq       0.0
kworker/1:1H-kblockd           0.0
