    t     req newconn  fullhs      h2
    0     601      32      32       0
    5   10364     443     443       0
   10   10744     457     457       0
   15    9548     497     497       0
   20   10100     513     513       0
   25    8651     546     546       0
   30    7667     582     582       0
   35    8828     684     684       0
   40    9732     739     739       0
   45    9077     729     729       0
   50    8396     753     753       0
   55    9813     710     710       0
   60    8188     603     603       0
