    t     req newconn  fullhs      h2
    0      44      16      16       0
    5   23677     781     781       0
   10   54242    1741    1741       0
   15   52071    1811    1811       0
   20   52487    1911    1911       0
   25   48206    2049    2049       0
   30   49333    2019    2019       0
   35   49440    2061    2061       0
   40   58295    1124    1124       0
   45   57398    1063    1063       0
   50   59455    1045    1045       0
   55   54145     993     993       0
   60   55872     955     955       0
   65   30582     504     504       0
