COMMAND                   AVG_CPU%
nginx                        108.6
kworker/u4:3-ext4-rsv-conversion       0.5
pidstat                        0.4
kworker/u4:1-ext4-rsv-conversion       0.4
rcu_sched                      0.1
kworker/u4:3-writeback         0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-journal                0.0
kworker/u4:3+flush-259:0       0.0
kworker/u4:3+events_unbound       0.0
kworker/u4:3-events_unbound       0.0
kworker/u4:1+events_unbound       0.0
