COMMAND                   AVG_CPU%
mysqld                        55.0
nginx                         29.9
pidstat                        0.5
jbd2/nvme0n1p1-8               0.1
systemd-network                0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
rcu_sched                      0.0
polkitd                        0.0
kworker/u4:2-writeback         0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
dbus-daemon                    0.0
