    t     req newconn  fullhs      h2
    0       2       2       2       0
    5     346      61      61       0
   10   52916    1655    1655       0
   15   53043    1763    1763       0
   20   52179    1834    1834       0
   25   49671    2024    2024       0
   30   48748    2018    2018       0
   35   49868    2011    2011       0
   40   54725    1569    1569       0
   45   58719    1056    1056       0
   50   58224     998     998       0
   55   58479     966     966       0
   60   56770    1003    1003       0
   65   54858     917     917       0
