    t     req newconn  fullhs      h2
    0    9273     388     388       0
    5   10515     487     487       0
   10    9536     496     496       0
   15    9960     539     539       0
   20    8501     533     533       0
   25    7460     604     604       0
   30    8375     673     673       0
   35    9327     777     777       0
   40    8595     746     746       0
   45    8150     695     695       0
   50    7919     694     694       0
   55    8663     701     701       0
   60    1163     119     119       0
