COMMAND                   AVG_CPU%
mysqld                        58.5
nginx                         27.2
pidstat                        0.8
landscape-sysin                0.5
rcu_sched                      0.1
jbd2/nvme0n1p1-8               0.1
vmstat                         0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
rsyslogd                       0.0
kworker/u4:2-events_unbound       0.0
kworker/u4:0-flush-259:0       0.0
kworker/u4:0-events_unbound       0.0
